,name,code,sector,series_id,units,year,value,source
466,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2012,4.783,Residual Fuel
467,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2011,9.235,Residual Fuel
468,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2010,8.227,Residual Fuel
469,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2009,8.893,Residual Fuel
506,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2018,1444.926,Total Energy
507,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2017,1429.664,Total Energy
508,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2016,1425.682,Total Energy
509,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2015,1456.654,Total Energy
510,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2014,1510.934,Total Energy
511,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2013,1508.402,Total Energy
512,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2012,1489.653,Total Energy
513,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2011,1498.482,Total Energy
514,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2010,1508.484,Total Energy
515,"Total Industrial Sector CO2 Emissions, Annual",TEICEUS,Industrial,TOTAL.TEICEUS.A,Million Metric Tons of Carbon Dioxide,2009,1399.849,Total Energy
0,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,1.758,Coal
1,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,1.948,Coal
2,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,2.239,Coal
